Voici la liste des ancêtres de Jésus-Christ, descendant de David, lui-même descendant d'Abraham.	Ŋwa'nyə nə ŋkhənyə Yeso Kristo mú David, mú Abraham.
On a honte même de parler de ce que certains font en cachette.	Po yɔ bǎ ya mo lə́ nə́ pɔ pyə dɑ təm wap bi po a: Ŋ dě dɑ yá mo nə pú nthé ywə pʉ̌ə po o?
Or, tout ce qui est dévoilé est mis en pleine lumière	Ŋ də cəŋtə́ shwi'tə bi Tito tə́ nthəm wap pu fɑ yɔk pɑ̀ yə ŋ də ghɔm a. Tə́ Tito lě nthé ywə pʉə po a? Pyə e lě tə ghiŋ pɑ nə ta' zhwényə a? Biŋ giŋ pɑ̀ nə ta' məjyə́ a?
de plus, tout ce qui est mis en pleine lumière devient à son tour lumière. C'est pourquoi il est dit: «Réveille-toi, toi qui dors, relève-toi d'entre les morts, et le Christ t'éclairera.»	Tə fɑ tə tyɛ' po bɑwə ŋkwɛ gɑ pyə bɑwə nthɛ nɑ tsɔk dzə̌ po a? Gɛ̌, pyə bɑwə gɔm nwə pɑ́ dzə Si, shyə m nə Kristo, po' mfɑmfɑ́ nə nɑ́ ŋkwyətə wɔ.
Ainsi prenez bien garde à votre manière de vivre. Ne vous conduisez pas comme des ignorants mais comme des sages.	Gɑ̌ wə bwɔk gɑ́ pɑtyɛ' nə ŋwak wə po ŋ də yɔ wɔ kwa' pa' gɑ̌ shəŋ a, ba wɔ yɔ́ lə yɔ a pa' po shəŋ a: Ŋkhyɛ'nyə, pu a nə khíŋnyə, ba nə caktə nɑ́, nə fəŋnyə, nə tʉ tsǒ pyə shɑ pɔ cwəpùŋ, nə cyətə ghə mku' ba paknyə pɑ́ wə po.
Faites un bon usage de toute occasion qui se présente à vous, car les jours que nous vivons sont mauvais.	Gɑ̌ wə́ bwɔk gɑ́ pɑ cwə yə gɑ gɔ piŋ cyə a, Si a fi' a hɑ si dzə̌ po, ŋ də piŋ dɔ nə thə pɔ jɔmyɔ̌m pyə wap lə la' hɔnwə̀, wap lə piŋ bʉɔtʉm tsap nə́ bɔkbɔk mnwə map, nə ghiŋ cwəpuŋ tsap ba nə nwə ghap a!
Ne soyez donc pas déraisonnables, mais efforcez-vous de comprendre ce que le Seigneur attend de vous.	Yəŋ batə mcʉ̌m nthá pa' gɑ gɔ sɔ' wə po a. Pu gɔ nyaptə́ guŋ ywə awɛ dzə pɔ pɑpʉə kɑ pɔ pɑtá lə, wap pɑ́ mkwinthɛ nə́.
Ne vous enivrez pas: l'abus de vin ne peut que vous mener au désordre; mais soyez remplis de l'Esprit Saint.	Ŋ dě da' gɔ̌m, biŋ bɑwə ŋkwi' gɔm tyɛ' ɔ yə ŋ tə́ si a pɑ́ ŋ də zhi gɔm nə cwə yə ŋ də sɔ' wə po nə batə mcʉ̌m bʉ́ə a, gɔm bi pɔ pyə wap lə hɔnwə a ba m bi guŋ pɔ awɛ gɑ́: ŋ dá biŋ sɔ' wə po, bɑ ŋ tə gɔ nə ghə sɔmywə pɑ nə cɔm mo pɑ̀
Encouragez-vous les uns les autres par des psaumes, des hymnes et de saints cantiques inspirés par l'Esprit; chantez des cantiques et des psaumes pour louer le Seigneur de tout votre cœur.	Nə pa' po wə shəŋ ywə yə a da'tə gɑ́ Kristo nə shyə m nə m̀ gɔmnwə a. E tə́ bɑ ě pwatə nə yɔ nə pɑ́ pɑ̀. E da'tə pɑ̀ tʉɔ shyə m nə po.
Remerciez Dieu le Père en tout temps et pour tout, au nom de notre Seigneur Jésus-Christ.	A nyənyɔ gɑ́ a bɑ pu lě ŋkwé é thə bɛnyəpɛnyə nthʉm pwatə̀, da' gɑ e bɑ pɑ nthʉɔ shyə m nə tʉɔ Si. Ba wɔk pɑ bɑ pɔ bwatə pwǎtə nə é, da' gɑ́ pɑ gɔ sɔ' pɑ pɔ mtʉɔ pa pú, cyə m nə́ tʉɔ Si nə pɑ.
Soumettez-vous les uns aux autres à cause du respect que vous avez pour le Christ.	Po tiŋtə́ nɑ tsɔ wɔ́ wɔ́, jɔ́ bi a pǒ nə piŋnthʉm a, po ləŋtə́ nɑ̀ tsɔ́; kɑ́ po ka zhyə́ gɑ́ Kristo bɑ nə po? Tə ně yə po vʉ̀ mləŋtə a.
Femmes, soyez soumises à vos maris, comme vous l'êtes au Seigneur.	Gɑ̌ kwɛ gɑ́ pǒ zhyə́ gɑ pyə lě da'tə ywə yə pyə ku' nə́ a.
Car le mari est le chef de sa femme, comme le Christ est le chef de l'Église. Le Christ est en effet le Sauveur de l'Église qui est son corps.	Pyə shwyɛ'nyə gɑ po kɑ ghə sɔm nwə cwəpuŋ; pyə tə́ shəŋ pɑ nə la'tə wɔ ywə yə pyə ku' nə a pɑ́, pyə shəŋ pɑ̀ nə yɔ pa' po gə nwə pɑpuŋ a, tə́ nə̌ da' yə pǒ bvʉ nə mləŋtə a.
Les femmes doivent donc se soumettre en tout à leurs maris, tout comme l'Église se soumet au Christ.	Nə pa' a bɑ pyə ka ghə tʉɔ nə bɔ nwə nyənyɔ, yɔk tʉɔ bɑ pɑ yə́ nwə nyənyɔ.
Maris, aimez vos femmes tout comme le Christ a aimé l'Église jusqu'à donner sa vie pour elle.	Pyə bɑ guŋ mcwə awɛ bɑ ŋwɛnyə pa' pyə pwatə́ tə po tʉɔ a. Ywə yə pyə̌ shwyɛ'nyə Si nə a bɑ yɔ nə pɑ́ pɔ dɔlɔ̌.
Il a voulu ainsi rendre l'Église digne d'être à Dieu, après l'avoir purifiée par l'eau et par la parole	A ywə yə a gə tə́ pyə yɑ tə́ gʉə sʉəsʉə myə və yəŋ ywə bi po, po'o gɑ́ ŋ kɑ́ cwətə bɑ si ja'nwə mhwémhwé shyə m nə tʉɔ yə Cyəpɔ hɑ bəm m̀ nə́ nə ŋkwɑ́, a lə pɑ́ m nə́ nə sa'tə a.
il a voulu se présenter à lui-même l'Église dans toute sa beauté, pure et sans défaut, sans tache ni ride ni aucune autre imperfection.	Mfɑ̌mfɑ́, po pɑ nə ŋwɛnyə̀, po fa' nə pɑ dɔlɔ̌, po pɑ ŋkhaktʉɔ, bɑ ŋkwishwə, po vɔk nə hwitə̀, a Si ŋkhuŋnyə̀ ba hwitə pɑ bi po.
Les maris doivent donc aimer leurs femmes comme ils aiment leur propre corps. Celui qui aime sa femme s'aime lui-même.	Po lɑ nə nuŋ mgho dɔlɔ̌ nə sha'tə cəcɑ̌ po. Guŋ pɔ dɔlɔ̌ awɛ ca'tə wɔ́.
En effet, personne n'a jamais haï son propre corps; au contraire, on le nourrit et on en prend soin, comme le Christ le fait pour l'Église	Gho' Cyəpɔ Yeso Kristo, ŋkhuŋnyə Si ba tsʉnyə Zhwenyə Dɔlɔ̌ pɑ bi guŋ yɔ awɛ.
son corps, dont nous faisons tous partie.	Myə Polo, bɑ gɛ nthə̌m, la' bɑ gɛ nthə̌m pɔmnəŋ kɑ yə mu' mo pɑ́. Gɑ̌ bɑ́ gɛ nthə̌m m nə Yeso Kristo pú Si Tá yə é lə yam e nə vʉ̌ a
Comme il est écrit: «C'est pourquoi l'homme quittera son père et sa mère pour s'attacher à sa femme, et les deux deviendront un seul être.»	pyə a guŋ mfɑ̌mfɑ́ pyə́ pyə a pú bɑ a, bi mcu'tə pɔ Kristo myə́ ǎ Galata a
Il y a une grande vérité cachée dans ce passage. Je dis, moi, qu'il se rapporte au Christ et à l'Église.	Gho' pú hwitə pɑ́ bi po shyə́ m nə Si, Tá yɔk pɑ, bɑ m nə Cyəpɔ Yeso Kristo
Mais il s'applique aussi à vous: il faut que chaque mari aime sa femme comme lui-même, et que chaque femme respecte son mari.	yʉ́ yə e lə hɑ̌ thə́ nɑ e nə́ mhɔ mɔk pɑ, tə́ nə ŋkwi wɔk pɑ bi yəŋ dzʉ́ cwəpuŋ a, dəŋdəŋ pa' Si yə e bɑ Tá yɔk pɑ á shəŋ a.
Enfants, c'est votre devoir devant le Seigneur d'obéir à vos parents, car cela est juste.	Ghu'tə pɑ́ bi e nə mgu' nə gu'. Amɛn.
«Respecte ton père et ta mère» est le premier commandement suivi d'une promesse	Nwə̌ zhʉm á nə nthi pa' po nə nthəm nə mo yə e lə kě wɔ shyə m nə gho' Kristo, nthəm po'o gɔ m nə mu' Cuŋ pɑpúŋ a.
«afin que tu sois heureux et que tu jouisses d'une longue vie sur la terre.»	A tə́ bɑ m gɑ́ mu' Cuŋ pɑpúŋ bɑwə pɑ́; da' gɑ shɑ́ pɔ bɑ cəcɑ̌ po bɑwə má' và' biŋ bɑwə shə́ŋ nə́ kwyəpnyə́ Cuŋ pɑpúŋ Kristo.
Et vous, pères, n'allez pas irriter vos enfants par votre attitude. Mais élevez-les en leur donnant une éducation et une discipline inspirées par le Seigneur.	Da' gɑ mu' mo, kə nə pyə́, kə aŋgəle fɑ kɛbəŋ lə́ siŋ wɔ́ mu' Cuŋ pɑpúŋ, tə́ a bɑ́ yə pyə lə́ sǐŋ wɔ a, bɑ dǒ thə́ e!
Esclaves, obéissez à vos maîtres d'ici-bas humblement, avec respect, d'un cœur sincère, comme si vous serviez le Christ.	Pyə lě da' gɔ̌m, bìŋ ŋkwi' bɑwə gɔm cwəlɔ gɑ mo siŋ wɔ mu' Cuŋ pɑpuŋ tə a bɑ yə po lə la' ju' a bɑ dǒ thə́ e!
Ne le faites pas seulement quand ils vous surveillent, pour leur plaire; mais accomplissez la volonté de Dieu de tout votre cœur, comme des esclaves du Christ.	Nə pa' cwəlɔ, gɑ̌ shəŋ pɑ́ nə puŋ pɔmnəŋ kɑ nə́ púŋ Si? Gɑ̌ shəŋ nə puŋ pɔmnəŋ a? Ŋ də pe' bɑ shəŋ pɑ́ nə́ puŋ pɔmnəŋ bɑ ŋ tə́ jɑ gɛfa' Kristo pɑ.
Servez-les avec bonne volonté, comme si vous serviez le Seigneur lui-même et non des hommes.	Nə pa' gɑ̌ wə́ siŋ wɔ mfɑ̌mfɑ́ gɑ́ Cuŋ pɑpúŋ yə gɑ̌ siŋ wɔ a, a tə́ fɑ m bi monəŋthə́ pɑ́
Rappelez-vous que chacun, qu'il soit esclave ou libre, sera récompensé par le Seigneur, selon le bien qu'il aura fait.	bɑ pu lá tə nəŋ shyə́ m nə mo tə ji'tə a kə tə́ hɑ bəm pɑ́; Yeso Kristo nə́ gə tə́ myə zhyə́.
Et vous, maîtres, conduisez-vous d'une façon semblable à l'égard de vos esclaves; abstenez-vous de toute menace. Rappelez-vous que vous avez, vous et vos esclaves, le même Maître dans les cieux, qui n'avantage personne.	Nə pa' po lə yǔ' pu ghɔmnwə nə tsɑ̀ ghiŋ pa' ŋ də nə gə́ nə nə́ piŋ pɑ Yudea a: nthi pa' ŋ də lɑ Cu'tə pɔ Si jɔgo' biŋ bɑ shəŋ nə sa'tə yá a.
Enfin, puisez votre force dans l'union avec le Seigneur, dans son immense puissance.	Ŋ də dɑ yɑ́ nə piŋ pa' pɑ Yudea biŋ a, nə gɔ pɑ́ dzə̀, tə shyə bo'gwyə ŋkhɛ yɔk ba pɔ nə gwya yɔk nə nə́ səŋnyə nə kyəp ma mtá pɑ̌ a.
Prenez sur vous toutes les armes que Dieu fournit, afin de pouvoir tenir bon contre les ruses du diable.	Da' gɑ mo yə́ e lə ci a tə jɑ vǎm ma á, e gho' a á lə cwə̌ tə jɔ gɑ́ a puŋ gɑ́
Car nous n'avons pas à lutter contre des êtres humains, mais contre les puissances spirituelles mauvaises du monde céleste, les autorités, les pouvoirs et les maîtres de ce monde obscur.	e ghə ŋ jyə́ Mu é, po'o gɑ siŋ e bi pɑ tə́ pɑ́ pɑ Yudea, ŋ gúŋ dusi, tə hə̌ŋtə nthɔk monəŋthə́ pɑ́
C'est pourquoi, saisissez maintenant toutes les armes de Dieu! Ainsi, quand viendra le jour mauvais, vous pourrez résister à l'adversaire et, après avoir combattu jusqu'à la fin, vous tiendrez encore fermement votre position.	la' nəŋ bʉɔ Yerusalɛm bəŋ pɔ pyə́ wap lə bɑ mghɛ nthəm m dzə̌ m̀ a pɑ́. Ŋ də ghɔ Arabya, biŋ bɑnyə Damasi.
Tenez-vous donc prêts: ayez la vérité comme ceinture autour de la taille; portez la droiture comme cuirasse	A lə pǐŋ nə cyə́ gu' tá ŋ bʉɔ gɔ Yerusalɛm nə yɔ Kefas. Ŋ dɑ́ pǐŋ shwə́ bəŋ e tyɛ' shwɔp tɔ mghǎm
mettez comme chaussures le zèle à annoncer la Bonne Nouvelle de la paix.	tə yɔ sɔm gɛ nthə̌m tə́ ně da' Yakop fɑ́ Cyəpɔ.
Prenez toujours la foi comme bouclier: il vous permettra d'éteindre toutes les flèches enflammées du Mauvais.	Ywə yə gɑ̌ bvə bi po a, gɑ̌ wə gɔm po'o dzə̌ Si, a tə́ bɑ cwanwə pɑ̀.
Acceptez le salut comme casque et la parole de Dieu comme épée donnée par l'Esprit Saint.	Ŋ də pǐŋ gɔ nə ghə̌ŋ mgùŋ Siria ba m̀ Kilikia.
Tout cela, demandez-le à Dieu dans la prière. Oui, priez en toute occasion, avec l'assistance de l'Esprit. A cet effet, soyez vigilants et continuellement fidèles. Priez pour l'ensemble du peuple de Dieu	Da' gɑ a lə́ bɑ mcu'tə pɔ Kristo Yudea ka zhyə́ sə a pɑ́.
priez aussi pour moi, afin que Dieu m'inspire les mots justes quand je m'exprime, et que je puisse révéler avec assurance le secret de la Bonne Nouvelle.	Wap lə bɑ wap yu' yap da' pa' pu gɔm gɑ: Mo yə e lə cwɔ'mkwə mɔk pɑ a cwəlɔ bɑwə siŋ piŋnthʉm yə e lə sa'tə cwə o bɔ a.
Bien que je sois maintenant en prison, je suis l'ambassadeur de cette Bonne Nouvelle. Priez donc pour que j'en parle avec assurance, comme je le dois.	Biŋ bɑ gu'tə Si nə thə́ a.
Tychique, notre cher frère et collaborateur fidèle au service du Seigneur, vous donnera toutes les nouvelles qui me concernent, afin que vous sachiez ce que je deviens.	A lə pǐŋ shyə́ gu' shwɔppfʉə mghǎm, ŋ bʉɔ gɔ Yerusalɛm, pyə Barnabas; ŋ də nə ghɔ dɑ́ ba Tito.
Je vous l'envoie donc en particulier pour vous dire comment nous allons et pour vous réconforter.	A lə́ dú m nə ywə yə Zhwenyə Si lə ghə ŋ jyə́ a tə́ bʉɔ wə́ nə la'tə wap Cuŋ pɑpúŋ yə ŋ də bɑwə siŋ bi pɑ tə pɑ́ pɑ Yudea a bi pú; ŋ də piŋ da'tə ya bɔ bi pɔ pyə́ pu lə bɑwə shəŋtə́ nyəŋ də̀ŋ nə pú a, po'o bɑ bwɔk gɑ ŋ khɑ khʉdʉ́ kɑ m gɑ a kɑ́ pɑ́ bɑ gɑ̌ khʉdʉ́ néné lə́.
Que Dieu le Père et le Seigneur Jésus-Christ accordent à tous les frères la paix et l'amour, avec la foi.	Da' gɑ pú la tə thə́nyə bǎ Tito, só ghìŋ a yə e bɑ yə Grikia a gɑ́ pu vó e pɑ́.
Que la grâce de Dieu soit avec tous ceux qui aiment notre Seigneur Jésus-Christ d'un amour inaltérable.	Pú lə pé'e gə po'o, bɑ a lə bɑ fɑ m bi mfǎ fʉtə̀ pyə a lə bɑ wap twɔk ŋkho cəcɑ̌ pyə́, bɑwə sa' wɔk nə yɔk nə cyətə́ pɑ ŋkwɔ yə pyə́ gə shyə m nə Yeso a, bɑ shəŋ nə lɑ wɔk gə mkwɔ.
De la part de Paul et Timothée, serviteurs de Jésus-Christ. A tous ceux qui, à Philippes, appartiennent au peuple de Dieu par Jésus-Christ, aux dirigeants de l'Église et aux diacres	A lə pɑ̌ po'o la' pyə yu'nyə wap bǎ mu ywə pɑ́, po'o gɑ̀ pu tɔm nyənyɔ Cuŋ pɑpuŋ bi po.
Que Dieu notre Père et le Seigneur Jésus-Christ vous accordent la grâce et la paix.	Da' gɑ́ sɔ' m nə́ nwə pɔ gwyə́: pa' Si tə́ dé pɑ dəŋ mo a pɑ́, bi a pɑ wap lə lɑ sɔmywə hyá a pɑ.
Je remercie mon Dieu chaque fois que je pense à vous.	Wap lə yɔ m gɑ́ a bɑ pu hɑ nə siŋ Cuŋ pɑpuŋ bi pɔ pyə pu ka vo wap a bəm pa' a bɑ pu hɑ nə siŋ Cuŋ pɑpuŋ bi pɔ pyə pu vo wap a bi Pɛtrɔ a.
Toutes les fois que je prie pour vous tous, je le fais avec joie	Nə pa' mo yə é lə lɑ Pɛtrɔ gə gɑ nthəm pɔ pyə pu vo wap a lě gə gɑ ba myə yɑ̌ pɑ gɛ nthə̌m pɔ pyə́ wap tə bɑ pɑ Yudea a pɑ́.
en raison de l'aide que vous m'avez apportée dans la diffusion de la Bonne Nouvelle, depuis le premier jour jusqu'à maintenant.	A lə pɑ̌ po'o Yakop, Kefas ba Yohane pyə́ wap bɑ mgak a zhyə́ gho' yə Si hɑ bəm a, hɑ pú yap bəm ba m bi Barnabas, a pɑ́ mtiŋ gɑ́ pyə a pu pɑ ŋkwishwə po'o gɑ pyə nə ghɔ m bə̌ŋ pɔ pyə́ pu ka vo wap a, wap ghɔ yap m bə̌ŋ pɔ pyə́ pu vo wap.
Je suis certain de ceci: Dieu, qui a commencé cette œuvre bonne parmi vous, la continuera jusqu'à son achèvement au jour de la venue de Jésus-Christ.	Tə ywə pɑ̀ da' gɑ pyə pɑ ŋkhamtə mpə́ŋ, a nə́ŋ bɑ ywə yə gɑ̌ gə gùŋ mcwə awɛ a.
Il est bien juste que j'aie de tels sentiments envers vous tous. Je vous porte en effet dans mon cœur, car vous avez tous part à la faveur que Dieu m'a accordée, aussi bien maintenant que je suis en prison que lorsque je suis appelé à défendre fermement la Bonne Nouvelle.	Da' gɑ́ Kefas lə sɔ' Antiokia myə vá é sɔsɔ̌, bɑ ě hɔnwə.
Dieu m'en est témoin: je vous aime tous avec la profonde affection de Jésus-Christ.	Nə kəlɑ́ pɔ nə pɔ pyə́ pu a Yakop lə bɑ́ a lə nə sɔ', Kefas pu a pɑ tə pɑ́ pɑ Yudea pɑ dzʉnyə; da' gɑ́ wap lə cwə̌ tə́ sɔ̌' e to' nə pɑ́ jyə̌ wap, bɑ ŋkhʉ́ wap, bɑ bwɔk pɔ pyə a bɑ pu vó wap a.
Voici ce que je demande à Dieu dans ma prière: que votre amour grandisse de plus en plus, qu'il soit enrichi de vraie connaissance et de compréhension parfaite	Ba pyə́ shɑ́ pɑ Yudea lə́ to' yap nə ghə pa' yʉ a, tə ba Barnabas ko yə nə nə fʉtə yap.
pour que vous soyez capables de discerner ce qui est bien. Ainsi, vous serez purs et irréprochables au jour de la venue du Christ.	Da' gɑ́ cwə yə ŋ də yɔ gɑ́ wap tə̌ wə giŋ dəŋdəŋ nə́ nyənyɔ Cuŋ pɑpuŋ a pɑ́, ŋ gɔm bi Kefas dzə̌ guŋ pɔ awɛ gɑ: A pɑ gɑ́ wə yə́ o bɑ yə Yudea a, ǒ wə́ bvɔk pa' pɑ tə pɑ́ pɑ Yudea a, la' o vɔk m pa' yə Yudea a, bɑ o gɔ piŋ thə́nyə pɑ tə́ pɑ́ pɑ Yudea gɑ wap vɔk pa' pɑ Yudea a m gɑ kɑ̀?
Vous serez riches des actions justes produites en vous par Jésus-Christ, à la gloire et à la louange de Dieu.	Pɑ̌ bɑ́ pɑ Yudea pa' pu nə dzə wɔk pɑ a. Pɑ tə bɑ́ pɑ tə pɑ́ pɑ Yudea, mghɛ mhɔ pɑ̀.
Frères, je veux que vous le sachiez: ce qui m'est arrivé a contribué en réalité à la progression de la Bonne Nouvelle.	Pɑ̌ bɑ pɑ̌ zhyə gɑ tə mfa' mco' nə gə mo pɑ́ dəŋdəŋ pɑ́, da' nə piŋ Yeso Kristo nə́ gə mo pɑ́ dəŋdəŋ; ba wɔk pɑ yɔk pɑ bɑ pɑ lě biŋ Yeso Kristo po'o gɑ pɑ cyə́ m nə nə́ piŋ Yeso Kristo bɑ dəŋdəŋ; a lə cyə́ m nə mfa' mco' pɑ, nə pa' sɔmmo tə gɔ sɔ' cyə m nə mfa' mco' pɑ́ dəŋdəŋ pɑ́.
C'est ainsi que tous, dans le palais du gouverneur ou ailleurs, savent que je suis en prison pour le service du Christ.	Tə́ a pɑ gɑ́ pɑ lě shəŋ nə pɑ́ dəŋdəŋ m nə́ Kristo, pu yɔ gɑ́ pɑ̌ bɑ́ mghɛ mhɔ̀, bɑ á da'tə gɑ́ Kristo fa' bi mhɔ a? Tə́ gɛ̌.
En me voyant en prison, la plupart des frères ont gagné en confiance dans le Seigneur, de sorte que, de plus en plus, ils osent annoncer sans crainte la parole de Dieu.	A pɑ gɑ́ gɑ̌ piŋ ŋkwɑ ywə yə ŋ də sa'tə a, bɑ myə nə́ bɑ́ gɛ pɔptə mco'.
Il est vrai que certains d'entre eux annoncent le Christ par jalousie, avec des intentions polémiques à mon égard; mais d'autres l'annoncent avec de bonnes dispositions.	Nə pa' kwa' myə, a lə́ shyə pɑ́ nə mco' tə myə pfʉ́ nə mco', po'o gɑ́ biŋ bvɔk m̀ bi Si. A bɑ pyə Kristo pfʉ́ thə́ bɛnyəpɛnyə
Ceux-ci agissent par amour, car ils savent que ma mission ici est de défendre la Bonne Nouvelle.	Gɑ bɑwə bvɔ̌k, da' gɑ a tə́ jɑ̌ a pɑ́, Kristo nə bɑwə bvɔk nə m̀. Nə pa' kwa' vɔk a cwəlɔ nthʉm bap nɑ́, gɑ̌ bɑwə bvɔk yá m nthʉ̌m piŋnthʉm, piŋnthʉm nə Mú Si yə e lə kùŋ a tə hɑ vɔk e nə thə a lə.
Les autres annoncent le Christ dans un esprit de rivalité, leurs motifs sont troubles; ils pensent augmenter ma détresse de prisonnier.	Pɑ ŋ də ghə gɑ́ gho' Si pɑ́ pɔpɔ; nə pa' pu cyə m nə mco' tə bɑ dəŋdəŋ bɑ Kristo lě pfʉ́ pɑ pɔpɔ.
Peu importe! Que leurs intentions soient inavouables ou sincères, le Christ est de toute façon annoncé, et je m'en réjouis. Je continuerai même à m'en réjouir	Wɔ pɑ Galata, mfʉmnyə́ pɔ, wɑ̌ fɛ́ wɔ? tə bɑ pú lə nə̌ŋ shəŋtə da'tə Yeso Kristo thə bɛnyəpɛnyə dzə̌ po nə mnyə mɔ?
car je sais que tout cela tournera à mon salut, grâce à vos prières et à l'aide que m'apporte l'Esprit de Jésus-Christ.	Po siŋ a yəŋ nwə̀: Po lə́ shyə pɑ m nə́ nə ghiŋ nə́ mco' tə́ ŋkwi Zhwenyə, kɑ m pa' po lə yu' ŋkhʉɔ piŋnthʉm a?
En effet, selon ce que j'attends et que j'espère vivement, je n'aurai aucune raison d'être honteux. Au contraire, maintenant comme toujours, avec une pleine assurance je manifesterai la grandeur du Christ par tout mon être, soit en vivant soit en mourant.	Wɔ pɑ Galata, pǒ fʉmnyə tə́ dəŋ pa' a? Wɔ pyə́ po lə ləŋdzə ntho' m nə Zhwenyə á, já bap nɑ́ nə gɔ ghə tə́ po pɑ́ pɔ lə̀?
Car pour moi, la vie c'est le Christ, et la mort est un gain.	Po yɔ́ dəŋ fa' e a gɔ cyə fé! Kwa' fě!
Mais si continuer à vivre me permet encore d'accomplir une œuvre utile, alors je ne sais pas que choisir.	Mo yə́ é hɑ Zhwenyə bi po biŋ bɑ gə msya cəcɑ̌ po á, e gə po'o pɑ́ nə pa' pǒ ghìŋ nə mco' a kɑ́ m pa' pǒ yu' ŋkhʉɔ piŋnthʉm a?
Je suis tiraillé par deux désirs contraires: j'aimerais quitter cette vie pour être avec le Christ, ce qui serait bien préférable	Pa' Abraham lə́ ghə piŋnthʉm nə Si, Si yap gɑ́ e bɑ dəŋdəŋ bi á
mais il est beaucoup plus important, à cause de vous, que je continue à vivre.	po cəŋtə́ ju' gɑ pɔ pyə́ wap ghə piŋnthʉm a nə bɑ́ pó Abraham.
Comme je suis certain de cela, je sais que je resterai, que je demeurerai avec vous tous pour vous aider à progresser et à être joyeux dans la foi.	A nə pɑ̌ po'o bɑ Ŋwa'nyə lə la' nə yɔ̌ gɑ Si gɔ sɔ' cyə m nə piŋnthʉm ghə pɑ tə pɑ́ pɑ Yudea cʉ' pɔ dəŋdəŋ siŋ Cuŋ pɑpuŋ yəŋ bi Abraham gɑ: Gùŋ mguŋ awɛ gɔ sɔ' cyə m nə o ghə byanyə́.
Ainsi, quand je me retrouverai auprès de vous, vous aurez grâce à moi d'autant plus sujet d'être fiers dans la communion avec Jésus-Christ.	A po'o tə́ pɔ pyə wap biŋ a pɑ́ bɑ wap ghə byanyə́ pu a Abraham gɛ piŋ.
Seulement, conduisez-vous d'une manière conforme à la Bonne Nouvelle du Christ. Ainsi, que j'aille vous voir ou que je reste absent, je pourrai apprendre que vous demeurez fermement unis dans un même esprit, et que vous combattez ensemble d'un même cœur pour la foi fondée sur la Bonne Nouvelle.	Nə pa' guŋ nə fá'fa' mco' awɛ bɑ nwə dò, nə pa' bɑ pu və gɑ: Dǒ bɑ́ thə́ mo yə e tə́ ŋkhaktʉɔ giŋ nə guŋ mco' awɛ myə́ a bɑ pú və nthʉ́m ŋwa'nyə mco' a pɑ́.
Ne vous laissez effrayer en rien par vos adversaires: ce sera pour eux le signe qu'ils vont à leur perte et que vous êtes sur la voie du salut; et cela vient de Dieu.	A nəŋ bɑ́ nyənyɔ gɑ́ sɔmmo tə́ bɑ́ dəŋdəŋ dzə̌ Si shyə́ m nə́ mco' pɑ, nə pa' mo dəŋdəŋ nə piŋnthʉm bɑ mo yə e gɔ sɔ' vɔk a.
Car Dieu vous a accordé la faveur de servir le Christ, non seulement en croyant en lui, mais encore en souffrant pour lui.	A nə pɑ̌ po'o, mco' pu piŋnthʉm lə pɑ́ ta' ywə pɑ́. Mo yə e fa' pa' mco' gɔm a gɔ sɔ' vɔk pɑ́ nə mco'.
Maintenant, vous participez au même combat que vous m'avez vu livrer autrefois et que je livre encore, comme vous le savez.	Kristo bɑ e lě jó nə ŋkwi wɔk pɑ bi dò mco', nə kwǐ wɔk pɑ po'o bɑ e pʉɔ shʉ' dò nə pɑ, nə pa' a bɑ pu və gɑ: dǒ bɑ thə́ mo yə pu ciŋ e thə́ a.
Votre union avec le Christ vous donne-t-elle du courage? Son amour vous apporte-t-il du réconfort? Êtes-vous en communion avec le Saint-Esprit? Avez-vous de l'affection et de la bonté les uns pour les autres?	Po'o gɑ́ byanyə Abraham kə́m nə pɑ tə́ pɑ pɑ́ Yudea, shyə m nə Yeso Kristo, a piŋ bɑ́ po'o pɑ cyə́ m nə́ piŋnthʉm ŋkwi Zhwenyə, ywə yə pu lə ka' a.
